Name	W1	W1_err	W2	W2_err	W3	W3_err	W4	W4_err	Point/Extended
Mrk1310	0.008392991	4.64E-05	0.007755326	5.71E-05	0.014424571	0.000159426	0.024658241	0.001158265	Extended
Mrk1392	0.020357141	0.000112498	0.020835315	0.00011514	0.053101026	0.000293447	0.142811144	0.001052271	Extended
Mrk18	0.024838009	0.00013726	0.020398587	0.000112727	0.065751083	0.000363354	0.165944207	0.001222722	Extended
Mrk198	0.014227113	7.86E-05	0.014668985	8.11E-05	0.044453188	0.000245657	0.080977077	0.001044157	Extended
Mrk202	0.005443983	3.01E-05	0.004870798	3.59E-05	0.012379495	0.000114019	0.022159609	0.00079598	Extended
Mrk279	0.024050094	0.000132906	0.029812615	0.000164751	0.112176765	0.000619912	0.268634692	0.001731952	Extended
Mrk290	0.020059346	0.000424933	0.026351181	0.000461136	0.074456551	0.001028655	0.188435228	0.00329755	Point
Mrk3	null	null	null	null	null	null	null	null	null
Mrk335	0.068915479	0.000317368	0.093756217	0.000431763	0.126795229	0.000700696	0.216751493	0.001996355	Extended
Mrk348	0.066852365	0.00036944	0.101859157	0.000562895	0.267856946	0.001480232	0.612015043	0.003945807	Extended
Mrk352	0.011249074	6.22E-05	0.009576351	7.06E-05	0.009084539	0.00011714	0.010528393	0.0006497	Extended
Mrk359	0.029479274	0.000162908	0.029241529	0.000161595	0.084781855	0.000468522	0.193002128	0.001244331	Extended
Mrk417	0.011003144	6.08E-05	0.013791137	7.62E-05	0.03606641	0.000265747	0.087652054	0.000968766	Extended
Mrk477	0.007919847	4.38E-05	0.01276439	7.05E-05	0.060076263	0.000331994	0.232253409	0.00128348	Extended
Mrk50	0.009460559	6.10E-05	0.009763377	6.29E-05	0.011757173	0.000205746	0.013169282	0.0013221	Extended
Mrk509	0.090015392	0.000414536	0.113658018	0.000523415	0.183781974	0.001015617	0.391888119	0.002165654	Extended
Mrk590	0.039583736	0.000218748	0.028054341	0.000155034	0.090594725	0.000584086	0.223646495	0.001853874	Extended
Mrk595	0.015614094	8.63E-05	0.014494394	8.01E-05	0.02743487	0.000227416	0.068922671	0.001587003	Extended
Mrk6	0.142140153	0.00065458	0.156603	0.000721183	0.221565895	0.001224418	0.524278559	0.003380149	Extended
Mrk618	0.050899882	0.000234403	0.075997635	0.000349982	0.215130959	0.001188858	0.487935141	0.002696429	Extended
Mrk653	0.009888189	5.46E-05	0.010111139	6.52E-05	0.028543217	0.000210314	0.063909011	0.000941798	Extended
Mrk704	0.054339643	0.000300292	0.082489767	0.000455855	0.199297987	0.001101361	0.334165874	0.002154447	Extended
Mrk728	0.005034041	3.25E-05	0.004454511	3.28E-05	0.004320191	0.000139266	0.010441481	0.000875143	Extended
Mrk739E	0.039184723	0.000216543	0.043171792	0.000238576	0.116279435	0.000642584	0.204155976	0.001504277	Extended
Mrk766	0.06035549	0.000333537	0.070729417	0.000390865	0.284382529	0.001571556	1.021320612	0.005644026	Extended
Mrk79	0.082170661	0.000454092	0.108642582	0.000500318	0.276632316	0.001528727	0.658812904	0.004247524	Extended
Mrk817	0.06176135	0.000284422	0.079506032	0.000366139	0.210815681	0.000970842	0.648577826	0.003584174	Extended
Mrk841	0.023524304	0.00013	0.032448907	0.000179319	0.106145824	0.000586584	0.261795452	0.001446735	Extended
Mrk885	0.015948387	8.81E-05	0.010725069	5.93E-05	0.019948163	0.000128611	0.037632416	0.000901179	Extended
Mrk915	0.025253221	0.000139554	0.022845469	0.000126249	0.058385219	0.000376423	0.179127431	0.002639719	Extended
Mrk926	0.069361229	0.00031942	0.082946884	0.000458381	0.098878737	0.000637495	0.16747967	0.001851054	Extended
Mrk975	0.032924317	0.000181947	0.042579453	0.000235303	0.089846862	0.000496512	0.203780253	0.001501508	Extended
NGC1052	0.333823402	0.001844776	0.19462565	0.001075541	0.184290485	0.001188165	0.463406474	0.005548571	Extended
NGC1106	0.063550179	0.000351191	0.039737458	0.000256197	0.11269455	0.000726569	0.351853679	0.003240692	Extended
