cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1snr	w1rchi2	w2mpro	w2sigmpro	w2snr	w2rchi2	w3mpro	w3sigmpro	w3snr	w3rchi2	w4mpro	w4sigmpro	w4snr	w4rchi2	ext_flg	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
37	0.846148	-12.215	205.30375	-14.644722	J134112.88-143840.1	205.3036986	-14.6444925	10.179	0.021	50.8	3.977	9.252	0.018	59.1	1.683	6.351	0.015	72.3	1.132	4.121	0.022	48.4	0.8963	5	18.83	0.65	-65	10.166	0.006	0	18.83	0.65	-65	9.306	0.006	0	18.83	0.65	-65	6.621	0.007	0	22.79	0.75	-65	4.532	0.01	17
38	0.843603	15.492255	207.872917	-18.229722	J135129.51-181346.1	207.8729826	-18.2294964	10.577	0.023	47.5	5.602	9.9	0.02	55.1	3.366	7.838	0.019	56.5	1.189	5.965	0.042	25.6	1.121	1	9.09	0.87	-10	10.826	0.006	0	9.09	0.87	-10	10.191	0.006	0	9.09	0.87	-10	8.634	0.011	0	14.55	0.94	-10	6.759	0.058	1
39	0.172335	-51.607494	212.028333	-30.398333	J140806.78-302353.8	212.0282898	-30.3983036	11.4	0.023	46.7	1.302	10.357	0.02	53.3	2.582	7.448	0.016	68.4	1.424	5.25	0.03	36.1	1.016	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
40	0.43467	64.841585	223.282917	25.909167	J145307.92+255433.1	223.2830382	25.909218	11.764	0.022	49	1.732	11.054	0.02	53.9	1.135	8.833	0.02	55.5	0.9984	7.17	0.065	16.8	1.075	0	9.98	0.82	-20	11.978	0.006	0	9.98	0.82	-20	11.308	0.006	0	9.98	0.82	-20	9.557	0.017	0	15.53	0.93	-20	7.815	0.073	1
41	0.440518	28.064506	226.68375	3.862222	J150644.11+035144.3	226.6838077	3.8623302	12.403	0.038	28.7	2.179	11.953	0.031	34.5	1.217	9.324	0.029	37.3	1.03	6.856	0.066	16.5	0.9581	4	11.86	0.76	5	11.207	0.006	1	11.86	0.76	5	11.111	0.007	1	11.86	0.76	5	9.668	0.028	1	18.06	0.89	5	7.424	0.086	1
42	0.538606	15.71536	227.999167	-21.317222	J151159.81-211901.4	227.9992102	-21.3170782	9.658	0.023	47.2	1.922	8.776	0.021	52.3	1.264	5.874	0.015	73.3	1.258	3.203	0.025	43.1	0.7063	4	13.16	0.84	90	9.766	0.006	0	13.16	0.84	90	8.89	0.006	0	13.16	0.84	90	6.293	0.006	0	17.72	0.92	90	3.73	0.008	1
43	0.372046	44.199831	236.60125	69.486111	J154624.34+692910.2	236.6014556	69.4861852	11.653	0.022	48.5	11.02	11.448	0.021	50.8	2.882	8.484	0.017	63.4	1.199	5.372	0.025	43.3	1.019	5	13.5	0.52	85	11.772	0.006	0	13.5	0.52	85	11.619	0.007	0	13.5	0.52	85	9.127	0.009	0	20.61	0.74	85	5.877	0.015	1
44	0.604332	-98.412824	252.06375	-30.584444	J164815.25-303504.0	252.0635571	-30.584469	10.775	0.024	44.7	8.602	10.054	0.021	51.1	1.468	7.705	0.022	49	0.8372	5.85	0.052	20.9	1.153	5	11.65	0.79	-65	10.912	0.012	1	11.65	0.79	-65	10.203	0.007	1	11.65	0.79	-65	8.243	0.015	1	15.86	0.89	-65	6.539	0.07	1
45	0.131077	-115.021452	284.2825	-78.4725	J185707.76-782821.0	284.2823349	-78.4725154	10.04	0.022	49.6	3.408	9.141	0.019	55.9	2.488	6.467	0.015	72.5	1.478	4.138	0.022	49.6	0.951	5	15.21	0.65	-45	10.111	0.006	0	15.21	0.65	-45	9.254	0.006	0	15.21	0.65	-45	6.907	0.006	0	20.53	0.78	-45	4.598	0.009	17
46	0.549662	61.285605	294.3875	-6.218056	J193733.03-061304.7	294.3876347	-6.2179822	9.097	0.024	45.5	8.426	8.279	0.021	51.9	2.88	4.824	0.015	71.8	6.019	2.391	0.012	90.5	1.307	5	20.42	0.88	85	8.977	0.006	1	20.42	0.88	85	8.236	0.006	1	20.42	0.88	85	4.962	0.005	1	23.32	0.91	85	2.691	0.006	1
