Name,RA_(J2000),DEC_(J2000),Redshift,Dist_[Mpc],BAT_Type,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PMW,PMW_err,PLW,PLW_err,BAT_flux,L_X
2MASXJ15115979-2119015,15h11m59.8s,-21d19m02s,0.044607,197.5406906,Sy 1 NL,1.846494909,0.093988791,1.572328586,0.122272671,0.594798829,0.033600208,0.22762399600000002,0.015050463,0.080112691,0.013230243000000001,3.13e-11,1.461703141900078e+44
2MASXJ15462424+6929102,15h46m24.3s,+69d29m10s,0.037389,164.70619150000002,Sy 1.9,0.175732356,0.012966391,0.097303939,0.019156905,0.0,0.036884607,0.0,0.081268675,0.0,0.054194633,1.39e-11,4.512698908659073e+43
2MASXJ16481523-3035037,16h48m15.3s,-30d35m04s,0.031,135.91984399999998,Sy 1,0.096398565,0.007797209,0.0,0.13603078300000002,0.0,0.162156065,0.0,0.114918509,0.0,0.095609316,4.57e-11,1.0103774440851925e+44
2MASXJ18570768-7828212,18h57m07.8s,-78d28m21s,0.042,185.6433584,Sy 1,0.34948785,0.018752913,0.356083689,0.03096538,0.210995093,0.02918327,0.082461749,0.012685388999999998,0.0,0.045425217000000004,2.4199999999999998e-11,9.98104253539103e+43
2MASXJ19373299-0613046,19h37m33.0s,-06d13m05s,0.010254000000000001,44.26301761,Sy 1.5,3.587559723,0.183705774,4.963942213,0.271667169,1.8841076959999998,0.18498877,0.6978299840000001,0.078951769,0.214319674,0.024126519,2.32e-11,5.439659671331905e+42
2MASXJ19380437-5109497,19h38m04.4s,-51d09m50s,0.040018,176.62712439999999,Sy 1.2,0.077916779,0.010140477,0.211094216,0.023789344,0.21119817899999999,0.037990854,0.0,0.08561034,0.0,0.074069732,1.51e-11,5.637589525532794e+43
2MASXJ20005575-1810274,20h00m55.7s,-18d10m27s,0.037119,163.484397,Sy 1 Merger,0.8863545909999999,0.046215542000000005,0.696158552,0.061629865,0.29964519300000003,0.042207664000000006,0.177159166,0.020433363,0.0,0.062688917,2.0899999999999997e-11,6.684987709581113e+43
2MASXJ20101740+4800214,20h10m17.4s,+48d00m21s,0.025627999999999998,111.9184465,Sy 2,0.198223735,0.01151012,0.352082399,0.033449402,0.232647629,0.036115462,0.0,0.103290169,0.0,0.08414289,1.33e-11,1.9936857049732606e+43
2MASXJ20183871+4041003,20h18m38.7s,+40d41m00s,0.0144,62.35630841,Sy 2,0.0,0.371069243,0.0,0.611111434,0.0,3.6631881560000004,0.0,2.829116708,0.0,1.4268760280000001,2.8500000000000002e-11,1.3261949206667148e+43
2MASXJ21090996-0940147,21h09m10.0s,-09d40m15s,0.026514999999999997,115.86863079999999,Sy 1.2 LINER,0.307347255,0.018176661,0.22851979100000003,0.03007486,0.093831074,0.00820128,0.0,0.14021244300000002,0.0,0.075986271,1.98e-11,3.181256212264442e+43
2MASXJ21355399+4728217,21h35m54.0s,+47d28m22s,0.025,109.12477009999999,Sy 1,0.518364395,0.036793504,0.74938918,0.09992979800000001,0.36613764200000004,0.067885099,0.17028832300000002,0.029129482,0.206039334,0.034770622,2.2199999999999998e-11,3.163744225188448e+43
2MASXJ23272195+1524375,23h27m22.0s,+15d24m37s,0.045717,202.61935390000002,Sy 1,0.134769115,0.009111596999999999,0.24713247,0.024314192000000002,0.167660423,0.010901972,0.141041226,0.010120499,0.145157111,0.011587789,1.05e-11,5.158849506836359e+43
2MFGC02280,02h50m42.6s,+54d42m18s,0.015153999999999999,65.65888097,Sy 2,1.5412558969999999,0.080588742,2.062762738,0.136917085,0.74638191,0.042025357,0.307614984,0.018807872,0.092210866,0.012902611000000001,2.7100000000000002e-11,1.3981634724277653e+43
3C111.0,04h18m21.3s,+38d01m36s,0.0485,215.3868174,Sy 1,0.266283454,0.016951288000000002,0.531878906,0.061945973,0.5622628279999999,0.031741309,0.7213018609999999,0.040264514,0.865952582,0.048609647,1.17e-10,6.495697731405726e+44
3C120,04h33m11.1s,+05d21m16s,0.033010000000000005,144.94795269999997,Sy 1,1.368109096,0.070052045,1.5093341230000001,0.10232755699999999,0.832994494,0.092864135,0.507012931,0.058966440999999994,0.395872912,0.043308041,9.44e-11,2.3735472027751473e+44
