Name,IP_dist,IP12,IP12_err,IP25,IP25_err,IP60,IP60_err,IP100,IP100_err
NGC4507,5.154896,0.459,0.04131,1.41,0.141,4.58,0.5496,5.6,0.672
NGC4619,3.137503,,,,,1.05,0.0945,3.17,0.317
NGC4748,9.660507,,,,,1.19,0.1309,2.32,0.232
NGC4939,11.544163,,,,,1.9,0.228,7.47,0.8964
NGC4941,9.337019,,,,,1.34,0.1474,4.1,0.492
NGC4992,,,,,,,,,
NGC5033,9.709605,0.773,0.05411,1.05,0.084,13.3,1.197,44.5,4.895
NGC5106,8.724482,,,,,2.12,0.2544,4.68,0.6084
NGC513,10.270698,,,,,1.84,0.1656,4.25,0.34
NGC5231,47.271715,,,,,0.639,0.0639,1.53,0.1683
NGC5252,,,,,,,,,
NGC526A,5.027138,0.245,0.0294,0.518,0.11914,,,,
NGC5273,81.397482,,,,,,,,
NGC5290,4.311095,,,,,1.67,0.2004,5.32,0.6384
NGC5506,4.335118,1.3,0.091,3.64,0.2548,8.81,0.9691,9.72,1.0692
NGC5548,36.56551,,,0.76,0.076,1.04,0.0936,1.73,0.1903
NGC5610,1.845134,,,0.747,0.08217,4.82,0.5784,8.74,1.1362
NGC5674,3.180469,,,,,1.5,0.135,3.5,0.315
NGC5683,76.132161,,,,,0.471,0.0471,1.34,0.1206
NGC5728,40.525239,,,0.812,0.08932,8.4,1.008,15.2,1.52
NGC5899,4.681876,,,0.363,0.03993,3.2,0.256,11.5,1.035
NGC5995,3.172616,0.435,0.03045,0.886,0.07974,3.88,0.3492,7,0.56
NGC6221,6.973749,1.49,0.0894,5.27,0.3162,36.3,4.719,,
NGC6240,2.267739,0.571,0.02855,3.51,0.1755,23.5,1.88,26.6,2.66
NGC6300,0.256511,0.739,0.05912,2.15,0.1505,14.1,1.269,40.3,4.836
NGC6552,110.827986,0.142,0.0142,0.711,0.02844,2.04,0.102,2.17,0.0868
NGC6814,8.029779,0.334,0.0334,0.586,0.05274,5.69,0.5121,18.2,1.82
NGC6860,11.314054,,,0.354,0.04248,1.05,0.084,2.58,0.1806
NGC7172,4.701967,0.457,0.03656,0.777,0.06993,5.96,0.7152,12.9,1.29
NGC7213,1.515405,0.634,0.08242,0.743,0.06687,2.56,0.256,8.63,0.9493
NGC7465,11.185119,,,0.394,0.06304,,,,
NGC7469,3.715972,1.3,0.104,5.48,0.4384,27,4.05,35.2,5.632
NGC7479,2.486696,0.747,0.06723,3.32,0.2988,12.1,1.573,24.9,3.486
NGC7582,3.100266,1.35,0.108,6.33,0.5064,48,7.2,72.8,8.736
NGC7603,15.087483,,,,,0.831,0.09141,2.12,0.212
NGC7679,6.986494,0.504,0.0504,1.15,0.1265,7.41,0.8892,9.86,1.2818
NGC788,,,,,,,,,
NGC931,0.579189,0.662,0.04634,1.31,0.1048,2.76,0.2484,4.92,0.492
NGC985,2.151059,,,0.548,0.06028,1.44,0.1296,2,0.16
PG2304+042,,,,,,,,,
PICTORA,,,,,,,,,
PKS2331-240,,,,,,,,,
SBS0915+556,,,,,,,,,
SBS1301+540,,,,,,,,,
SDSSJ104326.47+110524.2,,,,,,,,,
SWIFTJ212745.6+565636,33.28626,,,0.463,0.0463,,,,
UGC01479,4.814347,,,,,1.68,0.1512,3.14,0.2826
UGC03142,3.141845,,,,,1.27,0.1143,3.31,0.3641
UGC03478,5.150615,,,0.35,0.0455,1.46,0.1168,3.21,0.2889
UGC03601,,,,,,,,,
UGC03995A,27.232859,,,,,0.665,0.0532,2.04,0.1632
UGC05881,5.335999,,,,,1.76,0.1584,2.45,0.2695
UGC06728,,,,,,,,,
UGC07064,30.740711,,,0.384,0.05376,2.86,0.286,5.86,0.586
UGC08327NED02,3.343117,,,0.373,0.04476,,,1.97,0.2167
UGC10593,4.681453,,,,,0.484,0.04356,,
UGC11185NED02,14.977103,,,,,0.543,0.03258,0.896,0.1792
UGC12237,9.070102,,,,,,,1.67,0.1837
UGC12282,2.570524,,,,,0.837,0.0837,3.47,0.4164
UGC12741,15.417991,,,,,0.431,0.03879,,
UM614,,,,,,,,,
VIIZw073,4.648431,,,0.503,0.04024,1.76,0.1232,2.46,0.1722
WKK1263,,,,,,,,,
WKK4374,,,,,,,,,
WKK4438,12.3316,,,0.293,0.0586,0.762,0.0762,,
WKK6092,,,,,,,,,
WKK6471,,,,,,,,,
