Name,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PSW_flag,PMW,PMW_err,PMW_flag,PLW,PLW_err,PLW_flag
ESO548-G081,0.960207771,0.051334836,2.180950396,0.132089693,0.823230802,0.059263586,A,0.314914259,0.029499369,A,0,0.129276093,U
ESO549-G049,3.628969705,0.187939601,5.13078786,0.26240599,1.617872173,0.089249425,A,0.696650041,0.038886967,A,0.264987555,0.017304805,A
ESO553-G022,0.081588705,0.010217437,0.472544563,0.080135457,0.318425787,0.036762032,A,0.13902951,0.021464888,A,0,0.087030553,U
ESO553-G043,0.121958117,0.010297833,0,0.114371688,0,0.077690689,U,0,0.067013931,U,0,0.065211085,U
ESO565-G019,3.045023697,0.155150798,3.028608583,0.15404663,1.031291322,0.057127117,Ad,0.407353488,0.023535105,Ad,0.137202523,0.011071748,Ad
ESO578-G009,0.317936303,0.029686797,0.99892215,0.075151595,0.570837199,0.073935568,A,0.250481063,0.044777374,A,0,0.09642611,U
Fairall1146,1.219223782,0.068235282,1.407011457,0.090383755,0.616358843,0.057682476,A,0.282784297,0.053219126,A,0,0.1416937,U
Fairall272,0.797891693,0.044134079,1.221516366,0.071312569,0.465173483,0.026537674,Ad,0.214562407,0.013652759,Ad,0.102954982,0.018581303,AD
Fairall49,3.318097384,0.169081925,2.555471401,0.147228066,0.871956519,0.048384239,A,0.339379885,0.019769652,A,0.122693942,0.012179397,A
Fairall51,2.032480425,0.103982651,1.753232901,0.104241896,1.07086,0.1183378,A,0.5596487,0.07311471,A,0,0.2426511,U
Fairall9,0.531611912,0.039018213,0.610500103,0.038463363,0.20017676,0.012461935,A,0.098694087,0.008569507,A,0,0.062905182,U
HB890241+622,0.538308349,0.027497657,0.362135747,0.023593247,0.188466908,0.011828063,AC,0.192075039,0.012262288,AC,0.263767477,0.017574396,AC
IC0486,0.988911701,0.061583666,1.483165267,0.089147692,0.721274988,0.054846195,A,0.319372572,0.044200631,A,0,0.119753815,U
IC1657,2.895,0.145166679,3.95,0.198,3.034585781,0.211499955,A,1.509295204,0.145681475,A,0.606957842,0.075204911,A
IC1816,1.781739873,0.098686853,2.781383689,0.154254053,1.048176755,0.071758217,A,0.402851532,0.035680526,A,0.149351031,0.026242082,A
IC2461,1.446,0.075125642,3.244,0.163842941,2.196413032,0.150287323,A,1.005864015,0.074746595,A,0.399135722,0.035007784,A
IC2637,2.575824764,0.136006105,4.186660733,0.220571101,1.441910776,0.098911296,A,0.5540586,0.04069033,A,0.18881111,0.024902304,A
IC2921,0.09026098,0.011080073,0,0.17247236,0.097256557,0.008789584,A,0,0.076940968,U,0,0.074687622,U
IC4329A,1.796826317,0.094908857,0.968485763,0.121091053,0.487752937,0.073486549,A,0.1696658,0.03040621,Ad,0.079315457,0.013996315,AD
IC4518A,5.209259259,0.261020291,5.011267606,0.251332554,5.663011,0.3901137,AD,2.2967,0.1753475,AD,0.7877741,0.09443613,AD
IC4709,0.592,0.040038603,0.943,0.050534935,0.622550478,0.064351615,A,0.263782324,0.04550255,A,0,0.1027136,U
IC5063,4.266,0.418902763,3.603,0.279840789,2.205362977,0.197661818,A,1.027294795,0.121488842,A,0.353783593,0.058019066,A
IGRJ11366-6002,1.142394129,0.059109764,1.587045393,0.090240692,0.700099465,0.104180821,A,0,0.538769146,U,0,0.572674858,U
IGRJ23308+7120,0.379241966,0.02823396,0.809711326,0.056534627,0.370134813,0.039423601,A,0,0.203624255,U,0,0.1136784,U
IISZ010,0.084793037,0.00585009,0.124573072,0.01269529,0.055685266,0.006754101,A,0,0.089589117,U,0,0.065126508,U
IIZw083,1.162115159,0.061352017,1.306439727,0.098027626,0.577768618,0.054144878,A,0.239910892,0.03401772,A,0.081040043,0.014498832,A
IRAS03219+4031,1.305948598,0.068841167,1.171030372,0.087857989,0.4300624,0.03458913,Ad,0.1686139,0.01831475,Ad,0,0.062381254,UD
IRAS04124-0803,0.656686869,0.048570653,0.438650861,0.023793914,0.164505096,0.011264306,A,0.066774332,0.007765535,A,0,0.064883963,U
IRAS05078+1626,1.17505262,0.061243371,0.726655373,0.090228576,0,1.40459601,U,0,0.52393295,U,0,0.239578535,U
IRAS05218-1212,0.33045644,0.020681265,0.260576004,0.020964533,0.093768749,0.008048062,A,0,0.12610684,U,0,0.106023477,U
IRAS05589+2828,0.958754309,0.054559518,0.812638131,0.094401799,0.265166011,0.015750462,A,0.130487401,0.010065285,A,0,0.058284436,U
KAZ320,0.366143753,0.019540362,0.308341969,0.028551498,0.110268583,0.009038244,A,0.047689988,0.006749683,A,0,0.101353278,U
KUG1141+371,0.044593062,0.008839239,0,0.098450857,0.084635642,0.016444076,A,0,0.075084545,U,0,0.081748924,U
KUG1208+386,0.195204944,0.014492363,0,0.162608192,0.070114003,0.006936904,A,0.032670461,0.006304789,A,0,0.082098904,U
