Name,IF_dist,IF12,IF12_err,IF25,IF25_err,IF60,IF60_err,IF100,IF100_err
NGC4941,0.794847,,,0.527,0.06324,1.38,0.0966,,
NGC4992,,,,,,,,,
NGC5033,4.36627,0.945,0.04725,1.15,0.0575,13.8,0.69,,
NGC5106,15.142484,,,,,2.16,0.2376,,
NGC513,5.498323,0.167,0.02171,0.277,0.03601,1.94,0.1552,,
NGC5231,27.242055,,,,,0.629,0.05661,,
NGC5252,,,,,,,,,
NGC526A,5.714781,0.285,0.03135,0.45,0.063,0.224,0.04256,,
NGC5273,91.757225,,,,,0.908,0.19068,,
NGC5290,4.623161,,,0.199,0.02985,1.55,0.2015,,
NGC5506,13.393694,1.28,0.0768,,,8.41,0.5046,,
NGC5548,2.137404,0.401,0.0401,0.769,0.06152,1.07,0.0856,,
NGC5610,19.601453,0.233,0.03728,,,4.95,0.3465,,
NGC5674,7.806184,0.144,0.02592,0.281,0.03934,1.44,0.1152,,
NGC5683,73.791417,,,,,0.464,0.03712,,
NGC5728,7.568457,0.243,0.03645,0.882,0.07056,8.16,0.408,,
NGC5899,10.635378,0.261,0.02088,0.386,0.03088,3.41,0.1705,,
NGC5995,2.54074,0.391,0.03519,0.859,0.06013,,,,
NGC6221,,,,,,,,,
NGC6240,5.135849,0.558,0.03906,3.42,0.1368,22.7,0.908,,
NGC6300,5.752115,0.927,0.05562,2.27,0.1135,,,,
NGC6552,0.677703,0.191,0.00764,1.03,0.0103,2.45,0.049,,
NGC6814,33.274729,,,0.599,0.04792,,,,
NGC6860,3.811107,0.24,0.0288,0.332,0.0332,0.954,0.07632,,
NGC7172,4.030375,0.437,0.03496,0.761,0.05327,5.71,0.3426,,
NGC7213,3.542365,0.606,0.04848,0.742,0.04452,2.67,0.1602,,
NGC7465,41.293428,0.282,0.03666,0.386,0.04632,3.8,0.304,,
NGC7469,1.663216,1.35,0.0945,5.79,0.579,25.9,1.813,,
NGC7479,15.698782,0.882,0.06174,,,12.8,1.792,,
NGC7582,15.276369,1.62,0.0972,6.44,0.322,49.1,2.946,,
NGC7603,2.91402,,,,,0.853,0.09383,,
NGC7679,,,,,,,,,
NGC788,19.266407,,,,,0.511,0.09709,,
NGC931,7.758772,0.61,0.0427,1.32,0.066,2.56,0.1536,,
NGC985,17.080687,0.208,0.0312,0.523,0.04184,1.38,0.1104,,
PG2304+042,,,,,,,,,
PICTORA,,,,,,,,,
PKS2331-240,,,,,,,,,
SBS0915+556,59.108065,,,,,0.199,0.0398,,
SBS1301+540,,,,,,,,,
SDSSJ104326.47+110524.2,,,,,,,,,
SWIFTJ212745.6+565636,,,,,,,,,
UGC01479,14.021474,,,0.228,0.03192,1.69,0.0845,,
UGC03142,,,,,,,,,
UGC03478,8.836121,0.168,0.02352,0.328,0.02624,1.43,0.0715,,
UGC03601,,,,,,,,,
UGC03995A,23.358594,0.223,0.02676,0.31,0.0403,0.558,0.06696,,
UGC05881,3.084255,,,,,1.78,0.1068,,
UGC06728,,,,,,,,,
UGC07064,31.835865,0.17,0.0306,0.379,0.0379,2.75,0.22,,
UGC08327NED02,8.967459,,,0.357,0.03927,1.5,0.15,,
UGC10593,7.858084,,,0.136,0.01496,0.426,0.03834,,
UGC11185NED02,7.290995,,,0.119,0.01547,0.495,0.0396,,
UGC12237,21.99643,,,,,0.642,0.0642,,
UGC12282,,,,,,,,,
UGC12741,4.43279,,,,,0.435,0.0522,,
UM614,,,,,,,,,
VIIZw073,20.82146,,,0.422,0.02954,1.9,0.095,,
WKK1263,,,,,,,,,
WKK4374,,,,,,,,,
WKK4438,,,,,,,,,
WKK6092,,,,,,,,,
WKK6471,,,,,,,,,
