Name,J_2MASS,J_2MASS_err,H_2MASS,H_2MASS_err,K_2MASS,K_2MASS_err,2MASS_cat
NGC4235,9.448,0.016,8.801,0.019,8.5,0.028,XSC
NGC424,10.666,0.016,9.836,0.02,9.183,0.02,XSC
NGC4388,9.179,0.016,8.448,0.017,8.171,0.017,LGA
NGC4507,10.043,0.015,9.319,0.017,8.971,0.023,XSC
NGC4619,10.982,0.02,10.314,0.028,10.012,0.034,XSC
NGC4748,10.971,0.017,10.269,0.021,9.941,0.037,XSC
NGC4939,9.616,0.017,8.946,0.018,8.682,0.022,LGA
NGC4941,9.269,0.017,8.596,0.017,8.365,0.021,LGA
NGC4992,11.34,0.025,10.613,0.032,10.295,0.051,XSC
NGC5033,8.18,0.015,7.449,0.016,7.155,0.016,LGA
NGC5106,11.644,0.026,10.867,0.029,10.517,0.045,XSC
NGC513,11.005,0.014,10.268,0.02,9.951,0.021,XSC
NGC5231,11.397,0.023,10.67,0.029,10.369,0.044,XSC
NGC5252,10.978,0.023,10.186,0.028,9.894,0.041,XSC
NGC526A,11.973,0.022,11.117,0.027,10.498,0.03,XSC
NGC5273,9.724,0.014,9.065,0.018,8.836,0.025,XSC
NGC5290,9.572,0.007,8.824,0.008,8.498,0.012,XSC
NGC5506,9.804,0.017,8.913,0.017,8.237,0.017,LGA
NGC5548,10.802,0.015,10.038,0.018,9.495,0.019,XSC
NGC5610,11.163,0.018,10.412,0.023,10.081,0.027,XSC
NGC5674,11.194,0.03,10.524,0.037,10.124,0.051,XSC
NGC5683,12.914,0.032,12.153,0.045,11.803,0.049,XSC
NGC5728,9.29,0.016,8.572,0.017,8.274,0.019,LGA
NGC5899,9.662,0.015,8.99,0.02,8.666,0.024,XSC
NGC5995,10.838,0.015,9.991,0.016,9.46,0.021,XSC
NGC6221,8.24,0.016,7.505,0.017,7.234,0.018,LGA
NGC6240,10.414,0.016,9.58,0.02,9.175,0.02,XSC
NGC6300,7.956,0.016,7.287,0.016,7.007,0.017,LGA
NGC6552,11.519,0.023,10.828,0.03,10.463,0.047,XSC
NGC6814,8.8,0.016,8.095,0.019,7.787,0.024,XSC
NGC6860,10.682,0.014,9.893,0.018,9.448,0.022,XSC
NGC7172,9.519,0.016,8.75,0.017,8.39,0.018,LGA
NGC7213,8.035,0.009,7.403,0.011,7.125,0.016,XSC
NGC7465,10.605,0.011,9.909,0.013,9.605,0.022,XSC
NGC7469,10.299,0.017,9.491,0.017,9.01,0.018,LGA
NGC7479,9.337,0.012,8.654,0.012,8.362,0.021,XSC
NGC7582,8.486,0.016,7.785,0.016,7.413,0.017,LGA
NGC7603,10.736,0.015,9.958,0.018,9.42,0.018,XSC
NGC7679,11.079,0.015,10.448,0.024,10.113,0.026,XSC
NGC788,10.127,0.015,9.459,0.019,9.196,0.027,XSC
NGC931,10.556,0.014,9.801,0.019,9.38,0.022,XSC
NGC985,11.992,0.02,11.181,0.021,10.608,0.022,LGA
PG2304+042,13.218,0.039,12.52,0.052,12.039,0.059,XSC
PICTORA,13.746,0.062,12.966,0.07,12.04,0.068,XSC
PKS2331-240,13.393,0.038,12.639,0.046,12.17,0.07,XSC
SBS0915+556,14.241,0.042,13.641,0.049,13,0.055,XSC
SBS1301+540,13.655,0.045,13.006,0.058,12.495,0.067,XSC
SDSSJ104326.47+110524.2,15.789,0.09,15.288,0.116,14.424,0.095,PSC
SWIFTJ212745.6+565636,13.275,0.029,11.839,0.026,10.594,0.019,PSC
UGC01479,11.409,0.02,10.634,0.028,10.28,0.037,XSC
UGC03142,12.012,0.039,11.095,0.047,10.696,0.058,XSC
UGC03478,10.827,0.017,10.058,0.02,9.696,0.025,XSC
UGC03601,12.086,0.022,11.372,0.027,10.967,0.039,XSC
UGC03995A,,14.654,15.017,0.125,15.138,0.163,PSC
UGC05881,11.879,0.026,11.179,0.034,10.852,0.044,XSC
UGC06728,11.791,0.026,11.156,0.04,10.793,0.047,XSC
UGC07064,11.413,0.021,10.739,0.024,10.333,0.025,LGA
UGC08327NED02,12.559,0.033,11.69,0.043,11.227,0.048,XSC
UGC10593,11.908,0.024,11.207,0.034,10.878,0.046,XSC
UGC11185NED02,14.32,0.046,13.448,0.043,12.932,0.041,PSC
UGC12237,12.194,0.034,11.44,0.047,11.085,0.066,XSC
UGC12282,10.216,0.015,9.436,0.018,9.107,0.022,XSC
UGC12741,11.778,0.02,11.058,0.027,10.751,0.041,XSC
UM614,13.052,0.034,12.24,0.035,11.553,0.046,XSC
VIIZw073,12.887,0.026,12.22,0.032,11.816,0.044,XSC
WKK1263,12.492,0.057,11.572,0.054,11.093,0.068,XSC
WKK4374,11.168,0.06,10.171,0.05,9.828,0.055,XSC
WKK4438,11.769,0.042,10.917,0.046,10.484,0.05,XSC
WKK6092,11.682,0.059,10.926,0.065,10.501,0.064,XSC
WKK6471,12.465,0.06,11.674,0.062,11.231,0.066,XSC
