name,ra,dec,objid,distance,Column1,run,rerun,camcol,field,type,petroRad_u,petroMag_u,petroMagErr_u,petroRad_g,petroMag_g,petroMagErr_g,petroRad_r,petroMag_r,petroMagErr_r,petroRad_i,petroMag_i,petroMagErr_i,petroRad_z,petroMag_z,petroMagErr_z
Mrk18,135.4933,60.15167,1.23766E+18,0.003546737,1.23766E+18,4204,301,3,206,3,7.373497,15.43264,0.02733575,8.355502,14.27933,0.03317088,8.166903,13.59237,0.03371047,8.831686,13.28774,0.03640592,8.024783,13.00778,0.03203635
Mrk198,182.3087,47.05833,1.23766E+18,0.002069618,1.23766E+18,3698,301,3,157,3,5.690362,15.96456,0.01206537,14.11513,14.53942,0.005590037,13.88433,13.90052,0.005540958,14.73129,13.53863,0.005942934,12.41989,13.32218,0.005921833
Mrk202,184.4792,58.65972,1.23766E+18,0.011303488,1.23766E+18,3058,301,4,23,3,2.635364,16.64783,0.01429752,4.977498,15.532,0.005832097,7.414967,14.93685,0.006141839,8.163461,14.64325,0.006753276,7.693533,14.40046,0.009735437
Mrk290,233.9683,57.9025,1.23765E+18,0.008242711,1.23765E+18,2206,301,4,97,3,1.586961,15.34379,0.003376331,1.745012,15.06411,0.002105591,1.947878,14.81024,0.003325251,2.296837,14.6531,0.004167384,2.957801,14.51394,0.005797816
Mrk335,1.58125,20.20278,1.23768E+18,0.014140918,1.23768E+18,8096,301,4,238,3,1.699604,14.54426,0.00267815,1.799134,14.40002,0.002146421,1.599691,13.99712,0.002304822,2.548331,14.14091,0.003259135,2.043284,13.94319,0.004018219
Mrk348,12.19625,31.95694,1.23768E+18,0.008956764,1.23768E+18,8111,301,3,149,3,49.09916,15.26523,0.02150996,41.49976,13.77066,0.00786435,30.63046,13.08955,0.007156795,26.87766,12.74256,0.006624027,19.64503,12.61892,0.00804892
Mrk352,14.97208,31.82694,1.23768E+18,0.005451018,1.23768E+18,8111,301,3,165,3,1.724794,16.22363,0.00775141,3.779585,15.50627,0.001713674,3.802839,14.87078,0.002585639,3.709323,14.75849,0.004212573,3.102611,14.67444,0.01582353
Mrk359,21.88583,19.17889,1.23768E+18,0.019038197,1.23768E+18,7913,301,3,95,3,5.368046,15.23384,0.007717669,11.12311,13.99979,0.002251935,11.61654,13.3821,0.002436361,12.08291,13.08304,0.002797291,11.69477,12.83656,0.003293065
Mrk417,162.3788,22.96445,1.23767E+18,0.008656647,1.23767E+18,5137,301,3,324,3,11.81379,16.94534,0.02128157,8.024267,15.49864,0.008064895,8.807598,14.75447,0.008279735,9.654414,14.34742,0.009007702,9.1942,14.07164,0.009801792
Mrk477,220.1588,53.50444,1.23766E+18,0.001499209,1.23766E+18,3705,301,6,128,3,3.922875,16.0889,0.00789096,4.560359,14.85508,0.004788747,6.191053,14.78352,0.004846858,6.048682,14.48316,0.005382651,6.151869,14.37046,0.005720451
Mrk50,185.8504,2.679167,1.23765E+18,0.013321466,1.23765E+18,1462,301,4,404,3,6.657925,16.6923,0.01833462,8.25896,15.35923,0.01080985,8.114158,14.64984,0.01936179,8.579124,14.34468,0.02605593,7.697464,14.14711,0.0151069
Mrk590,33.64,-0.7666667,1.23766E+18,0.010236053,1.23766E+18,4263,301,2,340,3,24.64795,15.26061,0.01455938,29.14742,13.57982,0.01590019,28.6857,12.78246,0.01555606,27.6144,12.41427,0.01562288,24.89983,12.17358,0.01259149
Mrk595,40.39542,7.187222,1.23767E+18,0.007438142,1.23767E+18,5714,301,6,141,3,1.492585,16.30968,0.01217368,3.923635,15.14258,0.02118829,4.436668,14.36302,0.02239155,5.328236,13.99754,0.02412438,5.177201,13.69769,0.02205683
Mrk653,189.9654,34.975,1.23767E+18,0.007455875,1.23767E+18,4576,301,4,475,3,18.06196,16.54924,0.03307613,16.95601,14.9406,0.006797155,17.60496,14.18124,0.007182904,15.31096,13.82595,0.00690467,13.55224,13.60996,0.01070603
Mrk704,139.6083,16.30528,1.23767E+18,0.011627114,1.23767E+18,5194,301,4,176,3,1.182723,15.34026,0.003748385,1.688776,14.78896,0.004678423,1.630248,14.35195,0.006135296,12.08841,14.22751,0.007715229,3.662334,13.99882,0.008926574
Mrk728,165.2575,11.04694,1.23766E+18,0.006341717,1.23766E+18,3804,301,2,52,3,2.884285,17.11774,0.02594568,6.865466,15.857,0.01417015,7.270044,15.10751,0.01432705,7.343748,14.72779,0.01587152,7.20113,14.44622,0.01724789
Mrk739E,174.1225,21.59611,1.23767E+18,0.052449578,1.23767E+18,5183,301,2,281,3,11.72271,16.00411,0.02495584,13.03716,14.47877,0.009470761,12.92805,13.79951,0.00802213,12.96688,13.44707,0.009913777,12.5195,13.16224,0.008574765
Mrk766,184.6104,29.81278,1.23767E+18,0.009250252,1.23767E+18,5071,301,3,445,3,16.46064,14.90535,0.006256332,19.21279,13.48833,0.001476879,20.29692,12.82892,0.001744891,21.00391,12.57705,0.001941838,20.61564,12.32698,0.00305031
Mrk79,115.6367,49.80972,1.23766E+18,0.004466406,1.23766E+18,4264,301,5,92,3,1.346408,14.62298,0.002567938,1.595173,14.35727,0.002988967,2.791013,15.23381,0.01072118,70.79935,13.74297,0.005150168,54.4236,13.62078,0.004605753
Mrk817,219.0921,58.79417,1.23766E+18,0.006990342,1.23766E+18,2304,301,5,310,3,1.88581,14.27784,0.002674918,1.82724,13.91627,0.004393233,8.989573,13.59032,0.004467029,9.678056,13.38202,0.005000424,9.285423,13.22129,0.00470953
Mrk841,226.005,10.43778,1.23766E+18,0.003981837,1.23766E+18,3996,301,1,146,6,1.449321,14.30605,0.001876319,1.322394,14.26254,0.001048875,1.248431,14.2354,0.001286942,1.297746,13.875,0.001208867,1.469801,13.95829,0.002297898
Mrk926,346.1812,-8.685833,1.23765E+18,0.007823418,1.23765E+18,1854,301,5,71,3,2.717338,15.38286,0.00824057,13.97042,14.41721,0.002661928,16.66669,13.80053,0.002573645,16.71339,13.34107,0.002430647,16.15326,13.18002,0.005268403
Mrk975,18.4625,13.27167,1.23768E+18,0.009670153,1.23768E+18,7773,301,6,430,3,1.305196,15.6883,0.02637357,1.499024,14.91013,0.08080041,7.757019,14.72549,0.07923571,6.648304,14.19207,0.07544039,7.486366,14.00525,0.06805708
NGC1052,40.27,-8.255834,1.23765E+18,0.002703351,1.23765E+18,1862,301,3,94,3,31.42209,13.61892,0.008876462,40.57125,11.37847,0.007046368,41.15545,10.49922,0.006389155,42.07341,10.03546,0.005766535,37.75481,9.794551,0.004439076
NGC1194,45.95458,-1.103611,1.23766E+18,0.008447937,1.23766E+18,3388,301,1,626,3,42.1575,15.33312,0.0267946,30.51815,13.6992,0.0338851,40.65436,12.58683,0.02511144,37.51616,12.14355,0.01886084,26.67029,11.94652,0.01876167
NGC235A,10.72,-23.54111,1.23767E+18,0.008985156,1.23767E+18,6361,301,4,169,3,10.50883,15.60841,0.01228894,11.10034,13.91892,0.005283881,10.50934,13.16177,0.00565811,10.60034,12.78588,0.006189549,9.923911,12.52984,0.006649119
NGC2885,141.8271,23.02,1.23767E+18,0.006292386,1.23767E+18,5061,301,4,189,3,16.34669,16.17401,0.01830805,15.19414,14.36197,0.01894309,13.41856,13.51726,0.01691027,13.24345,13.07619,0.01605961,11.6788,12.81783,0.01225642
NGC3079,150.4908,55.67979,1.23766E+18,0.059485631,1.23766E+18,2243,301,5,213,3,71.92157,13.32177,0.008810419,68.50892,11.77682,0.003554492,63.69839,11.04317,0.00584637,63.10489,10.59258,0.007506302,64.47596,10.23963,0.007250886
NGC3227,155.8775,19.865,1.23767E+18,0.014521666,1.23767E+18,5183,301,3,167,3,53.10038,13.19598,0.003961196,59.5243,12.03433,0.008365076,56.10659,11.93925,0.0103012,4.798437,12.88093,0.02211883,51.24966,10.9619,0.006904513
NGC3718,173.1454,53.06805,1.23766E+18,0.012038483,1.23766E+18,2883,301,6,154,3,124.745,14.01354,0.01551739,70.54099,12.58322,0.008352171,68.61718,11.46904,0.00527638,63.0077,10.8938,0.004622233,59.2898,10.49663,0.003587321
NGC3786,174.9275,31.90917,1.23767E+18,0.021114207,1.23767E+18,4632,301,3,211,3,29.65426,15.14129,0.02871194,36.34777,13.20279,0.009737024,36.61774,12.35812,0.01094898,35.51474,12.05944,0.01010885,32.18399,11.81118,0.005393571
NGC4102,181.5958,52.71111,1.23766E+18,0.004298368,1.23766E+18,2883,301,4,187,3,39.15459,13.97266,0.07406615,33.65531,12.22622,0.01634216,40.16718,11.11591,0.00652136,13.14289,10.99045,0.005044064,38.43609,10.30866,0.01781453
NGC4138,182.3742,43.68528,1.23766E+18,0.009543594,1.23766E+18,3893,301,6,162,3,34.98464,13.78763,0.0106544,40.14711,11.76814,0.004874095,39.37781,11.03967,0.003982429,39.40277,10.6567,0.003325226,40.29104,10.35135,0.006964107
NGC4151,182.6358,39.40583,1.23766E+18,0.006834496,1.23766E+18,4469,301,2,436,3,1.609251,12.34387,0.002102108,21.83341,11.55878,0.003249411,14.07574,11.25732,0.001239731,14.45183,11.15918,0.002349315,22.3513,10.53592,0.002266124
NGC4180,183.2625,7.038889,1.23766E+18,0.011727327,1.23766E+18,3842,301,2,15,3,19.04946,14.93431,0.01487643,23.6844,13.00617,0.01163348,23.85273,12.21729,0.01214735,25.10707,11.76052,0.01591496,22.96988,11.48209,0.01493595
NGC4235,184.2912,7.191667,1.23766E+18,0.006710291,1.23766E+18,3841,301,3,130,3,34.91991,14.41856,0.02174968,41.25634,12.40783,0.05551846,42.08002,11.515,0.06523096,39.10282,11.10398,0.06146145,33.89394,10.86834,0.05181083
NGC4388,186.4446,12.66222,1.23766E+18,0.022078906,1.23766E+18,3804,301,4,191,3,49.55169,13.30719,0.006200276,69.16785,11.6711,0.03557055,58.22586,11.08589,0.0233032,56.83588,10.71607,0.02385551,45.44083,10.65924,0.01174729
NGC4619,190.4354,35.06278,1.23767E+18,0.009819239,1.23767E+18,4576,301,4,478,3,29.26961,15.06613,0.01683281,31.28796,13.28712,0.002579226,31.11904,12.58706,0.001607719,31.30752,12.24944,0.001538319,27.53985,12.13243,0.004243557
NGC4992,197.2733,11.63417,1.23766E+18,0.002705303,1.23766E+18,3836,301,2,321,3,25.26771,15.63705,0.01954137,21.8947,13.97999,0.007058885,20.13503,13.19376,0.006905352,20.83114,12.75685,0.008886614,19.524,12.4684,0.00996884
NGC5033,198.3646,36.59389,1.23766E+18,0.001055068,1.23766E+18,4510,301,3,19,3,48.21491,13.57496,0.02020711,52.23394,11.79798,0.01966476,52.22998,10.83603,0.01647915,48.52481,10.36289,0.01069861,44.64619,10.03997,0.008874483
NGC5106,200.2483,8.978333,1.23766E+18,0.00424425,1.23766E+18,3909,301,2,33,3,13.89012,15.67877,0.01512044,15.02172,14.30038,0.007025812,14.34529,13.59882,0.006595925,14.63681,13.20085,0.006865765,12.29613,12.94414,0.006175491
NGC513,21.11208,33.79945,1.23767E+18,0.019625517,1.23767E+18,4829,301,2,167,3,13.00976,15.26918,0.008899947,13.67654,13.8773,0.00608619,13.45393,13.10956,0.007239281,13.5366,12.74878,0.008191448,12.88505,12.42991,0.007306827
NGC5231,203.9508,2.998889,1.23767E+18,0.011802882,1.23767E+18,6166,301,2,85,3,31.33281,15.27462,0.01361937,26.37808,13.7694,0.002829368,26.48501,13.01141,0.003274642,27.50579,12.61082,0.00358651,26.4492,12.35345,0.004950159
NGC5252,204.5667,4.5425,1.23767E+18,0.031147291,1.23767E+18,6166,301,5,77,3,49.72133,15.19013,0.0505799,27.47902,13.57333,0.03309469,25.48382,12.77705,0.03090141,26.23759,12.35837,0.03115453,21.80482,12.16566,0.02700542
NGC5273,205.5346,35.65417,1.23766E+18,0.018790665,1.23766E+18,4512,301,3,58,3,55.01135,13.90009,0.006501464,54.48404,12.21541,0.001087273,53.30203,11.51882,0.000925067,52.27424,11.19282,0.0009295,49.26903,11.00793,0.002216116
NGC5290,206.33,41.7125,1.23766E+18,0.005095008,1.23766E+18,3818,301,1,274,3,56.79734,14.15811,0.04903611,52.71257,12.59674,0.01893737,50.67561,11.74316,0.01967493,48.97781,11.26776,0.02125327,47.31247,10.90442,0.03370666
