SWIFT Name	R.A.	Decl.	Flux (15-55 keV)	S/N	ID	Type^a	Redshift	Ph. Index	log(N_H)	Reference
J1210.5+3924	182.633	39.406	24.60 +or- 0.16	153.4	NGC 4151	Sy1.5	0.003	1.93^+0.01_-0.01	22.5	-1
J0333.5+3716	53.397	37.278	1.63 +or- 0.24	6.8	IGR J03334+3718	Sy1	0.06	2.37^+0.53_-0.44	20	-2
J0832.8+3706	128.2	37.1	1.03 +or- 0.20	5.2	RBS 707	Sy1.2	0.09	2.41^+0.63_-0.52	20	-2
J0325.1+3409	51.296	34.152	1.61 +or- 0.24	6.8	2MASX J03244119+3410459	Sy1	0.06	1.56^+0.42_-0.30	20	-2
J1835.1+3240	278.791	32.683	4.67 +or- 0.21	22	3C 382	Sy1	0.06	2.09^+0.11_-0.10	21.1	-1
J0048.7+3157	12.188	31.962	7.71 +or- 0.20	37.8	Mrk 348	Sy2	0.02	1.90^+0.08_-0.07	23.3	-1
J1139.4+3156	174.869	31.935	1.00 +or- 0.17	5.8	NGC 3786	Sy1.8	0.01	1.74^+0.45_-0.34	22.5	-3
J0228.4+3118	37.12	31.316	4.38 +or- 0.23	19.4	NGC 931	Sy1.5	0.02	2.25^+0.22_-0.16	21.6	-1
J2342.0+3035	355.5	30.6	1.08 +or- 0.19	5.7	UGC 12741	Sy2	0.02	1.64^+0.33_-0.30	23.7	-2
J1218.3+2950	184.593	29.839	1.53 +or- 0.17	9.1	Mrk 766	Sy1.5	0.01	3.07^+0.42_-0.36	21.7	-1
J1148.9+2938	177.23	29.634	1.06 +or- 0.18	6.1	MCG+05-28-032	LINER	0.02	1.85^+0.39_-0.35	22.5	-2
J0800.3+2638	120.099	26.648	1.79 +or- 0.24	7.5	IC 486	Sy1	0.03	1.80^+0.30_-0.28	22.2	-2
J0249.3+2627	42.349	26.451	1.25 +or- 0.23	5.5	IRAS 02461+2618	Sy2	0.06	1.66^+0.39_-0.38	23.5	-2
J1046.5+2556	161.649	25.95	1.12 +or- 0.19	5.9	UGC 05881	GALAXY	0.02	1.60^+0.38_-0.36	23	-2
J1418.2+2507	214.568	25.133	3.12 +or- 0.17	18.2	NGC 5548	Sy1.5	0.02	1.82^+0.12_-0.12	20.4	-1
J1424.3+2435	216.1	24.6	0.89 +or- 0.17	5.1	NGC 5610	GALAXY	0.02	1.88^+0.46_-0.42	22.8	-2
J0923.8+2256	140.962	22.936	2.05 +or- 0.20	10.5	MCG +04-22-042	Sy1.2	0.03	1.85^+0.23_-0.21	20.6	-1
J2326.3+2154	351.6	21.9	0.97 +or- 0.19	5.1	RBS 2005	Sy1	0.12	2.05^+0.52_-0.47	20.3	-2
J1136.5+2132	174.15	21.548	1.13 +or- 0.19	5.9	Mrk 739	Sy1	0.03	3.06^+0.64_-0.53	20.7	-2
J1204.5+2018	181.149	20.301	1.32 +or- 0.19	7.1	ARK 347	Sy2	0.02	1.76^+0.29_-0.23	23.2	-1
J0006.4+2009	1.6	20.152	1.16 +or- 0.20	5.8	Mrk 335	Sy1	0.03	2.38^+0.50_-0.42	22.6	-2
J1023.5+1951	155.888	19.864	7.35 +or- 0.20	36.8	NGC 3227	Sy1.5	0.004	1.98^+0.01_-0.01	22.8	-1
J1127.5+1908	171.9	19.148	1.12 +or- 0.20	5.6	1RXS J112716.6+190914	Sy1	0.1	1.84^+0.62_-0.54	21.4	-2
J0051.9+1726	12.998	17.447	1.81 +or- 0.21	8.6	QSO B0049+171	Sy1	0.06	2.13^+0.28_-0.25	20	-2
J1302.8+1624	195.7	16.4	0.90 +or- 0.17	5.1	Mrk 0783	Sy1.2	0.07	1.92^+0.43_-0.41	21	-2
J0918.4+1618	139.615	16.316	1.65 +or- 0.21	8	Mrk 704	Sy1.5	0.03	1.98^+0.26_-0.24	21.5	-2
J0108.8+1321	17.201	13.351	1.78 +or- 0.22	8.2	4C 13.07	Sy2	0.06	1.76^+0.34_-0.27	23.8	-3
J1225.7+1239	186.447	12.665	12.58 +or- 0.19	65.6	NGC 4388	Sy2	0.01	1.84^+0.01_-0.01	23.6	-1
J2304.7+1217	346.2	12.3	1.11 +or- 0.20	5.6	NGC 7479	Sy2	0.01	1.98^+0.40_-0.37	23.6	-3
J1504.2+1025	226.073	10.417	1.51 +or- 0.22	6.8	Mrk 841	Sy1	0.04	1.80^+0.38_-0.36	21.3	-1
J2303.2+0853	345.809	8.885	3.87 +or- 0.20	19.4	NGC 7469	Sy1.2	0.02	2.14^+0.12_-0.12	20.6	-1
J1217.2+0711	184.3	7.2	1.21 +or- 0.20	5.9	NGC 4235	Sy1	0.01	1.59^+0.44_-0.44	21.2	-3
J0433.4+0521	68.355	5.365	5.21 +or- 0.26	19.8	3C-120	Sy1	0.03	2.12^+0.13_-0.12	21.2	-1
J1338.1+0433	204.547	4.552	3.63 +or- 0.20	17.9	NGC 5252	Sy2	0.02	1.67^+0.12_-0.12	22.64	-13
J0453.5+0403	73.38	4.06	2.11 +or- 0.28	7.6	CGCG 420-015	Sy2	0.03	2.04^+0.36_-0.33	~24.2	-4
J0407.5+0342	61.883	3.717	1.90 +or- 0.25	7.6	3C 105	Sy2	0.09	1.91^+0.30_-0.28	23.4	-1
J2204.5+0335	331.149	3.6	1.33 +or- 0.21	6.3	IRAS 22017+0319	Sy2	0.06	2.29^+0.48_-0.40	22.5	-2
J1653.2+0224	253.319	2.404	4.20 +or- 0.35	12.1	NGC 6240	Sy2	0.02	2.09^+0.18_-0.17	24.3	-4
J1429.6+0117	217.4	1.3	1.26 +or- 0.23	5.4	QSO B1426+015	Sy1	0.09	2.41^+0.74_-0.59	20	-3
J2319.0+0014	349.762	0.241	2.82 +or- 0.00	13.5	NGC 7603	Sy1	0.03	2.07^+0.18_-0.17	20	-2
J0206.5-0016	31.631	-0.27	1.53 +or- 0.22	6.9	MRK 1018	Sy1.5	0.04	1.48^+0.40_-0.39	20.5	-1
J0215.0-0044	33.751	-0.749	1.30 +or- 0.22	5.9	Mrk 590	Sy1.2	0.03	2.23^+0.54_-0.47	20.4	-1
J2223.8-0207	335.962	-2.121	1.93 +or- 0.22	8.9	3C 445	Sy1	0.06	1.99^+0.24_-0.23	23.2	-2
J1413.5-0312	213.375	-3.201	14.38 +or- 0.24	59	NGC 5506	Sy1.9	0.01	2.27^+0.11_-0.14	22.5	-1
J0201.2-0649	30.32	-6.821	4.17 +or- 0.22	19.3	NGC 788	Sy2	0.01	1.74^+0.11_-0.11	23.5	-1
J0552.3-0727	88.09	-7.457	14.75 +or- 0.29	51.7	NGC 2110	Sy2	0.01	1.79^+0.00_-0.00	22.6	-1
J0241.5-0813	40.381	-8.22	1.34 +or- 0.21	6.4	NGC 1052	Sy2	0.01	1.47^+0.38_-0.38	20.5	-8
J0252.8-0830	43.2	-8.5	1.06 +or- 0.21	5	MCG-02-08-014	Sy2	0.02	1.69^+0.54_-0.40	23.1	-2
J2304.7-0841	346.194	-8.686	6.09 +or- 0.22	27.9	Mrk 926	Sy1.5	0.05	1.97^+0.01_-0.01	21.1	-1
J0234.8-0847	38.702	-8.794	2.13 +or- 0.21	10.2	NGC 985	Sy1	0.04	2.23^+0.26_-0.24	21.6	-1
J1942.7-1018	295.68	-10.316	4.30 +or- 0.30	14.3	NGC 6814	Sy1	0.01	1.91^+0.15_-0.14	20.8	-1
J2044.1-1043	311.039	-10.731	5.62 +or- 0.29	19.7	Mrk 509	Sy1.2	0.03	2.04^+0.12_-0.11	20.7	-1
J0438.5-1049	69.633	-10.83	1.48 +or- 0.23	6.4	MCG-02-12-050	Sy1	0.04	2.02^+0.61_-0.53	20	-2
J0839.8-1214	129.95	-12.248	1.28 +or- 0.21	6.1	3C 206	Sy1	0.2	2.04^+0.34_-0.31	21	-2
J1548.4-1344	237.106	-13.749	2.91 +or- 0.39	7.4	NGC 5995	Sy2	0.03	2.01^+0.26_-0.24	22	-2
J1031.9-1417	157.996	-14.3	2.13 +or- 0.23	9.3	H 1029-140	Sy1	0.09	2.17^+0.32_-0.29	20	-2
J0945.8-1419	146.468	-14.332	1.28 +or- 0.21	6.1	NGC 2992	Sy2	0.01	1.55^+0.34_-0.33	22	-1
J1322.3-1642	200.591	-16.716	2.57 +or- 0.27	9.5	MCG -03-34-064	Sy1.8	0.02	2.15^+0.30_-0.28	23.6	-1
J1442.6-1713	220.664	-17.223	4.83 +or- 0.34	14.4	NGC 5728	Sy2	0.01	1.84^+0.14_-0.14	24.3	-4
J2254.1-1734	343.535	-17.578	5.67 +or- 0.23	24.7	MR 2251-178	Sy1	0.06	2.06^+0.13_-0.12	20.8	-1
