|     cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	designation|	ra|	dec|	r_k20fe|	j_m_k20fe|	j_msig_k20fe|	j_flg_k20fe|	h_m_k20fe|	h_msig_k20fe|	h_flg_k20fe|	k_m_k20fe|	k_msig_k20fe|	k_flg_k20fe|	k_ba|	k_phi|	sup_ba|	sup_phi|	r_ext|	j_m_ext|	j_msig_ext|	h_m_ext|	h_msig_ext|	k_m_ext|	k_msig_ext|	cc_flg|
|         int|	double|	double|	double|	double|	char|	double|	double|	double|	double|	double|	int|	double|	double|	int|	double|	double|	int|	double|	int|	double|	int|	double|	double|	double|	double|	double|	double|	double|	char|
|            |	arcsec|	deg|	degree|	degree|	|	deg|	deg|	arcsec|	mag|	mag|	|	mag|	mag|	|	mag|	mag|	|	|	deg|	|	deg|	arcsec|	mag|	mag|	mag|	mag|	mag|	mag|	|
|        null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|
56	0.926496	-149.806292	68.29625	5.354444	04331106+0521151	68.29612	5.354222	16.8	11.93	0.029	0	11.087	0.03	0	10.241	0.029	0	0.6	-60	0.64	-60	35.13	11.692	0.032	10.943	0.032	10.194	0.031	0
57	null	null	206.9	-60.617778	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
58	null	null	96.744167	-37.099722	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
59	0.122491	28.152597	323.009167	-33.715	21320220-3342538	323.009186	-33.71497	10	13.136	0.035	3	12.387	0.042	3	11.707	0.05	3	0.8	10	0.8	10	22.59	12.91	0.043	12.351	0.061	11.571	0.054	0
60	0.655602	-173.061463	79.0475	-0.149722	05161139-0008596	79.047478	-0.149903	16.1	11.449	0.017	0	10.669	0.027	0	9.918	0.021	0	0.9	20	0.82	5	37.29	11.262	0.028	10.638	0.037	9.848	0.027	0
61	0.500981	122.178198	155.4175	-3.453889	10214022-0327142	155.417618	-3.453963	13.9	12.539	0.038	0	11.847	0.051	0	11.46	0.075	0	0.9	10	0.94	85	22.11	12.51	0.046	11.717	0.053	11.429	0.079	0
62	0.741351	-78.263061	181.12375	20.316111	12042964+2018581	181.123535	20.316153	17.8	11.905	0.019	0	11.112	0.024	0	10.66	0.031	0	0.6	-80	0.6	-75	29.58	11.764	0.021	10.98	0.024	10.566	0.028	0
63	0.796311	-37.613666	259.810417	48.980278	17191445+4858496	259.810211	48.980453	14.2	12.048	0.021	0	11.366	0.027	0	10.915	0.043	0	0.9	0	0.94	85	24.89	11.848	0.022	11.192	0.026	10.819	0.039	0
64	0.77613	-71.614229	171.400833	54.3825	11253611+5422572	171.400482	54.382568	10.1	13.215	0.033	5	12.517	0.046	5	12.112	0.05	5	0.7	-35	0.46	-20	23.64	12.937	0.04	12.15	0.05	11.917	0.057	0
65	null	null	264.368333	-29.134167	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
66	2.362628	46.027435	201.365	-43.019167	13252775-4301073	201.365646	-43.018711	278.7	5.031	0.015	1	4.312	0.016	1	3.989	0.015	1	0.9	42	0.957	47	409.8	4.976	0.016	4.271	0.017	3.942	0.016	Z
67	0.331142	-160.429414	206.065417	19.566667	13441569+1933596	206.065384	19.56658	20.3	12.298	0.026	3	11.605	0.04	3	11.316	0.049	3	0.4	30	0.38	30	35.49	12.097	0.027	11.467	0.041	11.154	0.046	0
68	0.583116	-131.241192	145.52	23.685278	09420476+2341066	145.519867	23.685171	14.2	12.555	0.026	0	11.799	0.038	0	11.373	0.041	0	0.6	-60	0.56	-70	24.99	12.444	0.03	11.674	0.04	11.277	0.038	0
69	0.344944	117.409829	286.357917	42.461111	19052592+4227398	286.358032	42.461067	13.3	12.991	0.036	0	12.287	0.048	0	11.774	0.055	0	0.6	25	0.66	45	28.69	12.828	0.047	12.228	0.064	11.587	0.058	0
70	0.412306	-125.599805	265.8225	62.839167	17431735+6250207	265.822296	62.8391	10.5	13.337	0.043	0	12.563	0.047	0	12.154	0.073	0	0.8	-85	0.76	-85	20.16	13.038	0.048	12.332	0.053	12.012	0.079	0
71	0.743734	174.582982	142.407917	62.544167	09293791+6232382	142.407959	62.543961	11.6	12.174	0.019	0	11.433	0.025	0	11.148	0.037	0	0.9	50	0.96	45	30.26	11.948	0.039	11.203	0.036	11.091	0.048	0
72	0.701155	-166.29493	229.890417	65.599722	15193367+6535583	229.890305	65.599533	15.5	12.351	0.033	0	11.57	0.042	0	11.256	0.059	0	0.8	35	0.66	35	29.51	12.089	0.035	11.256	0.039	11.073	0.055	0
73	1.238863	161.262335	281.359167	72.183889	18452628+7211008	281.359528	72.183563	10.8	13.113	0.039	3	12.496	0.057	3	11.93	0.059	3	0.5	5	0.42	15	20.22	12.989	0.048	12.317	0.064	11.873	0.064	0
74	0.773	-151.482071	244.830417	81.046667	16191914+8102473	244.829758	81.046478	14.4	12.298	0.024	0	11.59	0.03	0	11.303	0.044	0	0.6	-10	0.48	-5	25.11	12.101	0.025	11.421	0.03	11.205	0.041	0
75	0.663555	-118.753803	73.3575	4.061667	04532576+0403416	73.357338	4.061578	17.1	11.768	0.025	0	11.033	0.034	0	10.592	0.045	0	0.8	35	0.68	45	29.6	11.607	0.027	10.835	0.031	10.478	0.04	0
76	0.487363	-47.952127	77.082083	17.363333	05081967+1721483	77.081978	17.363424	21.2	11.455	0.021	0	10.633	0.029	0	10.191	0.028	0	0.7	85	0.66	-75	35.54	11.365	0.026	10.515	0.029	10.085	0.026	0
